time;e1;e2;e3;e4;e5;e6;e7;e8
0.19301;2.844766;2.585707;2.537411;2.420285;2.88452;2.029974;2.028495;2.02521
0.19401;2.845095;2.592607;2.538725;2.420285;2.884685;2.029974;2.028495;2.02521
0.19501;2.845587;2.582093;2.538397;2.420449;2.884685;2.02981;2.02866;2.025374
0.19601;2.845916;2.583736;2.538232;2.419792;2.884356;2.029974;2.028003;2.024881
0.19701;2.846573;2.586036;2.538397;2.420449;2.884685;2.029974;2.02866;2.025374
0.19801;2.846737;2.582093;2.538232;2.420613;2.884685;2.030467;2.028824;2.025539
0.19901;2.84608;2.582258;2.537411;2.419792;2.884356;2.02981;2.028003;2.024881
0.20001;2.846573;2.584722;2.538232;2.420285;2.88452;2.02981;2.028167;2.025374
0.20101;2.846409;2.586036;2.537904;2.42012;2.884685;2.029974;2.028331;2.024881
0.20201;2.845423;2.582422;2.538068;2.420449;2.884685;2.02981;2.02866;2.025539
0.20301;2.845259;2.584065;2.537575;2.419792;2.884356;2.029645;2.028331;2.025046
0.20401;2.84493;2.586036;2.537575;2.420285;2.884356;2.02981;2.027838;2.025046
0.20501;2.845423;2.588007;2.538397;2.420778;2.885013;2.030467;2.028495;2.025374
0.20601;2.845095;2.579958;2.53774;2.42012;2.884685;2.029974;2.028495;2.02521
0.20701;2.845259;2.582422;2.537411;2.420449;2.88452;2.029974;2.028495;2.02521
0.20801;2.845752;2.584229;2.537247;2.419956;2.884685;2.029974;2.028167;2.024881
0.20901;2.845752;2.585872;2.537904;2.420285;2.885013;2.030467;2.028495;2.02521
0.21001;2.845423;2.579958;2.537575;2.42012;2.88452;2.030138;2.028331;2.025046
0.21101;2.846245;2.582258;2.537247;2.419628;2.884192;2.029481;2.027838;2.024553
0.21201;2.846245;2.584886;2.538232;2.420449;2.884685;2.030138;2.02866;2.02521
0.21301;2.84608;2.585215;2.537575;2.42012;2.884356;2.030138;2.028167;2.025046
0.21401;2.846245;2.581436;2.537904;2.420449;2.884685;2.030138;2.028495;2.025046
0.21501;2.846409;2.583572;2.537411;2.42012;2.88452;2.029974;2.028003;2.02521
0.21601;2.846573;2.585543;2.53774;2.420613;2.885177;2.030467;2.028495;2.025046
0.21701;2.846902;2.585707;2.538397;2.420449;2.884685;2.030467;2.028824;2.02521
0.21801;2.845587;2.578972;2.537083;2.419956;2.884027;2.029645;2.027838;2.024389
0.21901;2.846245;2.581601;2.538068;2.42012;2.884685;2.030631;2.02866;2.025046
